Time,Radius
0.0014617443084716,176
0.0015316009521484,152
0.001514196395874,195
0.0016579627990722,132
0.0021307468414306,87
0.0037164688110351,122
0.0036725997924804,99
0.0037922859191894,113
0.0046274662017822,91
0.0062735080718994,60
0.0086982250213623,84
0.0061118602752685,96
0.0065429210662841,81
0.0088593959808349,82
0.0127260684967041,51
0.0181150436401367,71
0.0090558528900146,67
0.0098962783813476,55
0.0148706436157226,44
0.0215682983398437,36
0.0159888267517089,64
0.0128545761108398,84
0.0141806602478027,51
0.0221467018127441,39
0.0333240032196044,48
0.0269491672515869,54
0.0180232524871826,53
0.0195100307464599,67
0.030461311340332,39
0.0462446212768554,33
0.0326170921325683,45
0.0211484432220459,83
0.0260872840881347,35
0.041527509689331,49
0.0827069282531738,48
0.03179931640625,42
0.0325205326080322,48
0.0462415218353271,47
0.0320305824279785,84
0.03957700729370117,30
