Time,Radius
0.0015318393707275,181
0.0015993118286132,158
0.0014057159423828,166
0.0017535686492919,147
0.0020534992218017,89
0.0035572052001953,115
0.0042016506195068,115
0.0036823749542236,103
0.0046315193176269,84
0.0062358379364013,70
0.0098333358764648,78
0.0057425498962402,94
0.0064494609832763,71
0.0089876651763916,82
0.0125243663787841,57
0.0112891197204589,69
0.009676456451416,57
0.0100946426391601,69
0.0146420001983642,45
0.0215294361114501,43
0.0169579982757568,65
0.0135869979858398,53
0.0141859054565429,45
0.0221259593963623,41
0.0323677062988281,50
0.0379998683929443,51
0.0145995616912841,50
0.0195503234863281,63
0.0304706096649169,36
0.0466315746307373,43
0.0376288890838623,46
0.0206794738769531,83
0.0263986587524414,38
0.0409986972808837,49
0.0454185009002685,43
0.0259947776794433,61
0.0332567691802978,43
0.0580570697784423,50
0.0371570587158203,80
0.04050135612487793,33
