Time,Radius
0.0018668174743652,187
0.0016136169433593,191
0.0015356540679931,129
0.001814842224121,133
0.0022225379943847,95
0.0043361186981201,127
0.0037071704864501,106
0.0037257671356201,90
0.004784345626831,98
0.0066668987274169,70
0.0090997219085693,92
0.0060508251190185,111
0.0071756839752197,69
0.0091016292572021,64
0.0132997035980224,40
0.014458417892456,62
0.0103628635406494,62
0.0102970600128173,63
0.0152633190155029,41
0.0219109058380126,47
0.0231072902679443,61
0.0117833614349365,73
0.0143806934356689,46
0.0224997997283935,38
0.0340352058410644,48
0.0404341220855712,50
0.0240185260772705,59
0.020024299621582,33
0.0325651168823242,32
0.0478472709655761,43
0.0296013355255126,44
0.0234105587005615,95
0.0262887477874755,37
0.0410490036010742,49
0.039947509765625,45
0.0319573879241943,60
0.0326728820800781,35
0.0683586597442627,50
0.0322062969207763,89
0.040418148040771484,30
