Time,Radius
0.0017206668853759,201
0.0019679069519042,195
0.0065915584564208,273
0.0030109882354736,151
0.0023164749145507,142
0.0050156116485595,115
0.0039606094360351,115
0.0041148662567138,98
0.0059819221496582,79
0.0082619190216064,87
0.0185973644256591,80
0.0090458393096923,93
0.0124788284301757,68
0.0126550197601318,81
0.0178048610687255,62
0.015838623046875,66
0.0106439590454101,62
0.0123598575592041,70
0.0188603401184082,46
0.0304811000823974,44
0.0267121791839599,55
0.022620677947998,74
0.0248465538024902,50
0.0328927040100097,42
0.0603015422821044,43
0.0369575023651123,54
0.024184226989746,54
0.0211870670318603,57
0.0337176322937011,37
0.0515201091766357,42
0.0335159301757812,46
0.0350909233093261,95
0.0293061733245849,38
0.0432667732238769,35
0.0465259552001953,47
0.0289185047149658,63
0.0326404571533203,44
0.0479085445404052,53
0.0368080139160156,89
0.041066884994506836,36
