Time,Radius
0.001540184020996,180
0.0017387866973876,199
0.0014867782592773,216
0.0017297267913818,152
0.0021052360534667,90
0.0043959617614746,114
0.0034918785095214,94
0.0037846565246582,106
0.0046184062957763,93
0.0061657428741455,78
0.0106213092803955,74
0.0059936046600341,84
0.0064809322357177,72
0.0089972019195556,81
0.012563943862915,46
0.0161755084991455,67
0.0096495151519775,60
0.0101609230041503,60
0.0146412849426269,43
0.0216808319091796,43
0.0209758281707763,60
0.0129270553588867,57
0.0143203735351562,41
0.021846055984497,36
0.033010721206665,47
0.0316464900970459,55
0.0190227031707763,60
0.0196673870086669,64
0.0305497646331787,37
0.0461823940277099,29
0.0362319946289062,47
0.0256919860839843,90
0.0249454975128173,34
0.0413792133331298,45
0.0400702953338623,45
0.0241250991821289,51
0.0331983566284179,38
0.0437285900115966,60
0.043074607849121,92
0.0404813289642334,27
