Time,Radius
0.0016958713531494,161
0.0016036033630371,233
0.0015404224395751,161
0.0017175674438476,158
0.0021259784698486,82
0.0039572715759277,112
0.003807783126831,94
0.0036859512329101,114
0.0047953128814697,91
0.0065219402313232,62
0.0107522010803222,76
0.0064189434051513,101
0.0065698623657226,66
0.0091335773468017,82
0.0129907131195068,51
0.01312255859375,66
0.0101025104522705,67
0.0103523731231689,62
0.0149388313293457,52
0.0222518444061279,44
0.0242795944213867,55
0.0159993171691894,63
0.0143821239471435,46
0.0223991870880126,49
0.0333437919616699,44
0.0308256149291992,59
0.0181014537811279,52
0.0226664543151855,62
0.0355010032653808,44
0.0540688037872314,40
0.0347554683685302,50
0.0328302383422851,86
0.0265583992004394,40
0.0422253608703613,51
0.0608937740325927,45
0.0343594551086425,61
0.0336396694183349,38
0.0483877658843994,45
0.0440561771392822,93
0.041192054748535156,33
